"Brand_Reg","Model_No","SoldIn","screensize","Screen_Tech","Avg_mode_power","Star","SRI","Labelled energy consumption (kWh/year)","Sold In Aus","screensize_inch","GeneralSize"
"THOMSON","32D6","Australia,New Zealand",80.103,"LCD",130,"2.0","2.21640719508094",479,1,32,"Large"
"UNIDEN","TL16-DV","Australia,New Zealand",39.491,"LCD (LED)",13.3,"8.0","8.11189877682157",51,1,16,"Medium"
"UNIDEN","TL19-DV","Australia,New Zealand",47.013,"LCD (LED)",20.2,"7.0","7.15414659207098",76,1,19,"Medium"
"UNIDEN","TL22-DV","Australia,New Zealand",54.687,"LCD (LED)",24,"7.0","7.22462998026189",90,1,22,"Medium"
"Samsung","UA32J4003AW","Australia,Fiji,New Zealand",80.103,"LCD (LED)",23.87,"9.0","9.75892508442314",89,1,32,"Large"
"VEON","VN2212LED-A","Australia,New Zealand",54.687,"LCD (LED)",24.3,"7.0","7.17511102207777",91,1,22,"Medium"
"VEON","VN1912LEDDVD-A","Australia,New Zealand",47.013,"LCD (LED)",20.2,"7.0","7.15414659207098",76,1,19,"Medium"
"VEON","VN1912LED-A","Australia,New Zealand",47.013,"LCD (LED)",24.1,"6.0","6.39644452518106",90,1,19,"Medium"
"VEON","VN2481LED","Australia,New Zealand",59.81,"LCD (LED)",28,"7.0","7.06827671879302",105,1,24,"Medium"
"VEON","VN24J1LEDDVD","Australia,New Zealand",59.81,"LCD (LED)",28,"7.0","7.06827671879302",105,1,24,"Medium"
"HISENSE","55Q7","Australia,New Zealand",138.783,"LCD (LED)",89.99,"N/A","N/A",378,1,55,"Large"
"Linsar","LS40FHDG-SCA","Australia,Fiji,New Zealand",100.344,"LCD",35,"N/A","N/A",151,1,40,"Large"
"Kogan","KALED43JU8400VA","Australia,Fiji,New Zealand",107.987,"LCD (LED)",48.37,"N/A","N/A",188,1,43,"Large"
"EKO","K400USN","Australia",100.331,"LCD",39.49,"N/A","N/A",154,1,40,"Large"
"BAUHN","ATV65UHDS-1020","Australia,Fiji,New Zealand",163.896,"LCD",93.53,"N/A","N/A",345,1,65,"Large"
"Caixun","EC24P28","Australia,Fiji,New Zealand",59.824,"LCD (LED)",16.07,"N/A","N/A",68,1,24,"Medium"
"Caixun","EC24N1","Australia,Fiji,New Zealand",59.824,"LCD (LED)",16.07,"N/A","N/A",68,1,24,"Medium"
"Caixun","EC24N2","Australia,Fiji,New Zealand",59.824,"LCD (LED)",16.07,"N/A","N/A",68,1,24,"Medium"
"Caixun","EC24N3","Australia,Fiji,New Zealand",59.824,"LCD (LED)",16.07,"N/A","N/A",68,1,24,"Medium"
"Caixun","EC24N4","Australia,Fiji,New Zealand",59.824,"LCD (LED)",16.07,"N/A","N/A",68,1,24,"Medium"
"Caixun","EC24Z1","Australia,Fiji,New Zealand",59.824,"LCD (LED)",16.07,"N/A","N/A",68,1,24,"Medium"
"Caixun","EC24Z2","Australia,Fiji,New Zealand",59.824,"LCD (LED)",16.07,"N/A","N/A",68,1,24,"Medium"
"HISENSE","70S5","Australia,New Zealand",176.57,"LCD (LED)",106.02,"N/A","N/A",422,1,70,"Large"
"kogan","KALED65NU8030SVA","Australia,Fiji,New Zealand",163.896,"LCD (LED)",90.06,"N/A","N/A",348,1,65,"Large"
"EKO","K70USG","Australia",176.505,"LCD (LED)",160,"N/A","N/A",640,1,69,"Large"
"Concentric Care","24-D1-3663","Australia,Fiji,New Zealand",59.823,"LCD (LED)",27.1,"N/A","N/A",110,1,24,"Medium"
"JVC","LT-55NQ7105AT","Australia,Fiji",138.783,"LCD (LED)",54.6,"N/A","N/A",270,1,55,"Large"
"kogan","KALED42RF9230STA","Australia,Fiji,New Zealand",105.348,"LCD (LED)",42,"N/A","N/A",155,1,41,"Large"
"TEAC","LEV19A121","Australia,Fiji,New Zealand",47.013,"LCD",14.9,"N/A","N/A",60,1,19,"Medium"
"TEAC","LE19A121","Australia,Fiji,New Zealand",47.013,"LCD",14.9,"N/A","N/A",60,1,19,"Medium"
"TEAC","LEV24A121","Australia,Fiji,New Zealand",59.827,"LCD",21.6,"N/A","N/A",85,1,24,"Medium"
"TEAC","LEV40A121","Australia,Fiji,New Zealand",100.333,"LCD",49.8,"N/A","N/A",188,1,40,"Large"
"TEAC","LE65A521","Australia,Fiji,New Zealand",163.897,"LCD",121.7,"N/A","N/A",450,1,65,"Large"
"TEAC","LE50A521","Australia,Fiji,New Zealand",125.727,"LCD",74.1,"N/A","N/A",275,1,49,"Large"
"TEAC","LE75A521","Australia,Fiji,New Zealand",189.338,"LCD",161.8,"N/A","N/A",595,1,75,"Large"
"TEAC","LE75E521","Australia,Fiji,New Zealand",189.338,"LCD",161.8,"N/A","N/A",595,1,75,"Large"
"Linsar","LS40FHDG","Australia,Fiji,New Zealand",100.344,"LCD",35,"N/A","N/A",151,1,40,"Large"
"TEAC","LE58A521","Australia,Fiji,New Zealand",146.068,"LCD",98.3,"N/A","N/A",365,1,58,"Large"
"TEAC","LE32A321","Australia,Fiji,New Zealand",80.043,"LCD",33.6,"N/A","N/A",127,1,32,"Large"
"TEAC","LE82A521","Australia,Fiji,New Zealand",207.185,"LCD",193.8,"N/A","N/A",720,1,82,"Large"
"TEAC","LE82E521","Australia,Fiji,New Zealand",207.185,"LCD",193.8,"N/A","N/A",720,1,82,"Large"
"kogan","KALED82XR9210STB","Australia,Fiji,New Zealand",206.934,"LCD (LED)",200,"N/A","N/A",733,1,81,"Large"
"EKO","K550USN","Australia,Fiji,New Zealand",138.783,"LCD (LED)",94.896,"N/A","N/A",370,1,55,"Large"
"Caixun","EC24 series","Australia,Fiji,New Zealand",59.824,"LCD (LED)",16.07,"N/A","N/A",68,1,24,"Medium"
"kogan","KAQLED55XT9510STB","Australia,Fiji,New Zealand",138.711,"LCD (LED)",120,"N/A","N/A",441,1,55,"Large"
"Hitachi","58QLEDSM20","Australia,Fiji,New Zealand",145.82,"LCD",75.7,"N/A","N/A",298,1,57,"Large"
"HISENSE","50S5","Australia,New Zealand",125.731,"LCD (LED)",67.01,"N/A","N/A",284,1,50,"Large"
"PHILIPS","32PHT6915/79","Australia,Fiji,New Zealand",80.054,"LCD (LED)",35.47,"N/A","N/A",146,1,32,"Large"
"BAUHN","ATV58UHDG-0121","Australia,Fiji,New Zealand",145.82,"LCD",75.7,"N/A","N/A",298,1,57,"Large"
"Sony","KDL-32W600D","Australia,New Zealand",80.054,"LCD (LED)",29.2,"N/A","N/A",109,1,32,"Large"
"Linsar","LS65UHDSM21","Australia,Fiji,New Zealand",163.897,"LCD",96.1,"N/A","N/A",360,1,65,"Large"
"EKO","K580USGQ","Australia",145.82,"LCD (LED)",75.7,"N/A","N/A",298,1,57,"Large"
"BLAUPUNKT","BP500USG9200","Australia",125.638,"LCD (LED)",78.8,"N/A","N/A",315,1,49,"Large"
"EKO","K55USG","Australia",138.761,"LCD (LED)",65.5,"N/A","N/A",260,1,55,"Large"
"EKO","K750USN","Australia",189.219,"LCD (LED)",203.69,"N/A","N/A",760,1,74,"Large"
"BLAUPUNKT","BP550USG9200","Australia",138.761,"LCD (LED)",80.81,"N/A","N/A",330,1,55,"Large"
"PHILIPS","70BFL2114/12","Australia,Fiji,New Zealand",176.545,"LCD",128.08,"N/A","N/A",516,1,70,"Large"
"PHILIPS","43PFT6915/79","Australia,Fiji,New Zealand",107.942,"LCD (LED)",50.44,"N/A","N/A",206,1,42,"Large"
"PHILIPS","55OLED805/79","Australia",138.798,"OLED",162.34,"N/A","N/A",654,1,55,"Large"
"Hitachi","75QLEDSM20","Australia,Fiji,New Zealand",189.1,"LCD",126,"N/A","N/A",485,1,74,"Large"
"BAUHN","ATV50UHD-1120","Australia",125.731,"LCD",54.6,"N/A","N/A",220,1,50,"Large"
"PHILIPS","65OLED805/79","Australia,New Zealand",163.878,"LCD",201.99,"N/A","N/A",813,1,65,"Large"
"PHILIPS","75BFL2114/12","Australia,Fiji,New Zealand",189.306,"LCD",118.54,"N/A","N/A",478,1,75,"Large"
"PHILIPS","75HFL6114U/12","Australia,Fiji,New Zealand",189.306,"LCD",118.54,"N/A","N/A",478,1,75,"Large"
"PHILIPS","75*FL*114*/12","Australia,Fiji,New Zealand",189.306,"LCD",118.54,"N/A","N/A",478,1,75,"Large"
"KOGAN","KALED75RU9310SUA","Australia,Fiji,New Zealand",189.34,"LCD (LED)",129.06,"N/A","N/A",475,1,75,"Large"
"KOGAN","KALED70RU9310SUA","Australia,Fiji,New Zealand",176.57,"LCD (LED)",180.2,"N/A","N/A",660,1,70,"Large"
"kogan","KALED70XU9210STB","Australia,Fiji,New Zealand",176.456,"LCD (LED)",145,"N/A","N/A",532,1,69,"Large"
"KOGAN","KALED65RU9210SUA","Australia,Fiji,New Zealand",163.742,"LCD (LED)",132.61,"N/A","N/A",520,1,64,"Large"
"KOGAN","65B96","Australia,Fiji,New Zealand",163.742,"LCD (LED)",132.61,"N/A","N/A",520,1,64,"Large"
"KOGAN","KALED65RU9210SUB","Australia,Fiji,New Zealand",163.742,"LCD (LED)",132.61,"N/A","N/A",520,1,64,"Large"
"KOGAN","KALED65RF9100SUA","Australia,Fiji,New Zealand",163.742,"LCD (LED)",132.61,"N/A","N/A",520,1,64,"Large"
"Caixun","EC32S1N","Australia,Fiji,New Zealand",80.039,"LCD (LED)",30.294,"N/A","N/A",119,1,32,"Large"
"MITSUMARU","M75P4U","Australia,Fiji,New Zealand",189.949,"LCD (LED)",168.7,"N/A","N/A",617,1,75,"Large"
"MITSUMARU","M75P5U","Australia,Fiji,New Zealand",189.949,"LCD (LED)",168.7,"N/A","N/A",617,1,75,"Large"
"MITSUMARU","M75P6U","Australia,Fiji,New Zealand",189.949,"LCD (LED)",168.7,"N/A","N/A",617,1,75,"Large"
